법정동코드,법정동명,폐지여부
1114015000,서울특별시 중구 을지로4가,존재
1114015100,서울특별시 중구 을지로5가,존재
1114015200,서울특별시 중구 주교동,존재
1114015300,서울특별시 중구 방산동,존재
1114015400,서울특별시 중구 오장동,존재
1114015500,서울특별시 중구 을지로3가,존재
1114015600,서울특별시 중구 입정동,존재
1114015700,서울특별시 중구 산림동,존재
1114015800,서울특별시 중구 충무로3가,존재
1114015900,서울특별시 중구 초동,존재
1114016000,서울특별시 중구 인현동1가,존재
1114016100,서울특별시 중구 저동2가,존재
1114016200,서울특별시 중구 신당동,존재
1114016300,서울특별시 중구 흥인동,존재
1114016400,서울특별시 중구 무학동,존재
1114016500,서울특별시 중구 황학동,존재
1114016600,서울특별시 중구 서소문동,존재
1114016700,서울특별시 중구 정동,존재
1114016800,서울특별시 중구 순화동,존재
1114016900,서울특별시 중구 의주로1가,존재
1114017000,서울특별시 중구 충정로1가,존재
1114017100,서울특별시 중구 중림동,존재
1114017200,서울특별시 중구 의주로2가,존재
1114017300,서울특별시 중구 만리동1가,존재
1114017400,서울특별시 중구 만리동2가,존재
1114090100,서울특별시 중구 신당1동,폐지
1114090200,서울특별시 중구 신당2동,폐지
1114090300,서울특별시 중구 신당3동,폐지
1114090400,서울특별시 중구 신당4동,폐지
1114090500,서울특별시 중구 신당5동,폐지
1114090600,서울특별시 중구 신당6동,폐지
1117000000,서울특별시 용산구,존재
1117000100,서울특별시 용산구 옥수동,폐지
1117000200,서울특별시 용산구 도동1가,폐지
1117000300,서울특별시 용산구 도동2가,폐지
1117000400,서울특별시 용산구 만리동1가,폐지
1117000500,서울특별시 용산구 만리동2가,폐지
1117010100,서울특별시 용산구 후암동,존재
1117010200,서울특별시 용산구 용산동2가,존재
1117010300,서울특별시 용산구 용산동4가,존재
1117010400,서울특별시 용산구 갈월동,존재
1117010500,서울특별시 용산구 남영동,존재
1117010600,서울특별시 용산구 용산동1가,존재
1117010700,서울특별시 용산구 동자동,존재
1117010800,서울특별시 용산구 서계동,존재
1117010900,서울특별시 용산구 청파동1가,존재
1117011000,서울특별시 용산구 청파동2가,존재
1117011100,서울특별시 용산구 청파동3가,존재
1117011200,서울특별시 용산구 원효로1가,존재
1117011300,서울특별시 용산구 원효로2가,존재
1117011400,서울특별시 용산구 신창동,존재
1117011500,서울특별시 용산구 산천동,존재
1117011600,서울특별시 용산구 청암동,존재
1117011700,서울특별시 용산구 원효로3가,존재
1117011800,서울특별시 용산구 원효로4가,존재
1117011900,서울특별시 용산구 효창동,존재
1117012000,서울특별시 용산구 도원동,존재
1117012100,서울특별시 용산구 용문동,존재
1117012200,서울특별시 용산구 문배동,존재
1117012300,서울특별시 용산구 신계동,존재
1117012400,서울특별시 용산구 한강로1가,존재
1117012500,서울특별시 용산구 한강로2가,존재
1117012600,서울특별시 용산구 용산동3가,존재
1117012700,서울특별시 용산구 용산동5가,존재
1117012800,서울특별시 용산구 한강로3가,존재
1117012900,서울특별시 용산구 이촌동,존재
1117013000,서울특별시 용산구 이태원동,존재
1117013100,서울특별시 용산구 한남동,존재
1117013200,서울특별시 용산구 동빙고동,존재
1117013300,서울특별시 용산구 서빙고동,존재
1117013400,서울특별시 용산구 주성동,존재
1117013500,서울특별시 용산구 용산동6가,존재
1117013600,서울특별시 용산구 보광동,존재
1117090100,서울특별시 용산구 청파1동,폐지
1117090200,서울특별시 용산구 청파2동,폐지
1117090300,서울특별시 용산구 이촌1동,폐지
1117090400,서울특별시 용산구 이촌2동,폐지
1117090500,서울특별시 용산구 이태원1동,폐지
1117090600,서울특별시 용산구 이태원2동,폐지
1117090700,서울특별시 용산구 한남1동,폐지
1117090800,서울특별시 용산구 한남2동,폐지
1120000000,서울특별시 성동구,존재
1120000100,서울특별시 성동구 상일동,폐지
1120000200,서울특별시 성동구 길동,폐지
1120000300,서울특별시 성동구 둔촌동,폐지
1120000400,서울특별시 성동구 암사동,폐지
1120000500,서울특별시 성동구 성내동,폐지
1120000600,서울특별시 성동구 풍납동,폐지
1120000700,서울특별시 성동구 천호동,폐지
1120000800,서울특별시 성동구 송파동,폐지
1120000900,서울특별시 성동구 석촌동,폐지
1120001000,서울특별시 성동구 삼전동,폐지
1120001100,서울특별시 성동구 가락동,폐지
1120001200,서울특별시 성동구 이동,폐지
1120001300,서울특별시 성동구 오금동,폐지
1120001400,서울특별시 성동구 방이동,폐지
1120001500,서울특별시 성동구 문정동,폐지
1120001600,서울특별시 성동구 장지동,폐지
1120001700,서울특별시 성동구 거여동,폐지
1120001800,서울특별시 성동구 마천동,폐지
1120001900,서울특별시 성동구 잠실동,폐지
1120002000,서울특별시 성동구 신천동,폐지
1120002100,서울특별시 성동구 일원동,폐지
1120002200,서울특별시 성동구 수서동,폐지
1120002300,서울특별시 성동구 자곡동,폐지
1120002400,서울특별시 성동구 율현동,폐지
1120002500,서울특별시 성동구 세곡동,폐지
1120002600,서울특별시 성동구 역삼동,폐지
1120002700,서울특별시 성동구 포이동,폐지
1120002800,서울특별시 성동구 개포동,폐지
1120002900,서울특별시 성동구 도곡동,폐지
1120003000,서울특별시 성동구 논현동,폐지
1120003100,서울특별시 성동구 신사동,폐지
1120003200,서울특별시 성동구 학동,폐지
1120003300,서울특별시 성동구 압구정동,폐지
1120003400,서울특별시 성동구 청담동,폐지
1120003500,서울특별시 성동구 삼성동,폐지
1120003600,서울특별시 성동구 대치동,폐지
1120003700,서울특별시 성동구 염곡동,폐지
1120003800,서울특별시 성동구 내곡동,폐지
1120003900,서울특별시 성동구 신원동,폐지
1120004000,서울특별시 성동구 반포동,폐지
1120004100,서울특별시 성동구 잠원동,폐지
1120004200,서울특별시 성동구 서초동,폐지
1120004300,서울특별시 성동구 양재동,폐지
1120004400,서울특별시 성동구 우면동,폐지
1120004500,서울특별시 성동구 원지동,폐지
1120004600,서울특별시 성동구 황학동,폐지
1120004700,서울특별시 성동구 무학동,폐지
1120004800,서울특별시 성동구 흥인동,폐지
1120004900,서울특별시 성동구 신당동,폐지
1120005000,서울특별시 성동구 용두동,폐지
1120005100,서울특별시 성동구 답십리동,폐지
1120005200,서울특별시 성동구 면목동,폐지
1120005300,서울특별시 성동구 금호동,폐지
1120005400,서울특별시 성동구 명일동,폐지
1120005500,서울특별시 성동구 하일동,폐지
1120005600,서울특별시 성동구 고덕동,폐지
1120010100,서울특별시 성동구 상왕십리동,존재
1120010200,서울특별시 성동구 하왕십리동,존재
1120010300,서울특별시 성동구 홍익동,존재
1120010400,서울특별시 성동구 도선동,존재
1120010500,서울특별시 성동구 마장동,존재
1120010600,서울특별시 성동구 사근동,존재
1120010700,서울특별시 성동구 행당동,존재
1120010800,서울특별시 성동구 응봉동,존재
1120010900,서울특별시 성동구 금호동1가,존재
1120011000,서울특별시 성동구 금호동2가,존재
1120011100,서울특별시 성동구 금호동3가,존재
1120011200,서울특별시 성동구 금호동4가,존재
1120011300,서울특별시 성동구 옥수동,존재
1120011400,서울특별시 성동구 성수동1가,존재
1120011500,서울특별시 성동구 성수동2가,존재
1120011600,서울특별시 성동구 화양동,폐지
1120011700,서울특별시 성동구 모진동,폐지
1120011800,서울특별시 성동구 송정동,존재
1120011900,서울특별시 성동구 군자동,폐지
1120012000,서울특별시 성동구 중곡동,폐지
1120012100,서울특별시 성동구 능동,폐지
1120012200,서울특별시 성동구 용답동,존재
1120012300,서울특별시 성동구 광장동,폐지
1120012400,서울특별시 성동구 구의동,폐지
1120012500,서울특별시 성동구 자양동,폐지
1120090100,서울특별시 성동구 왕십리1동,폐지
1120090200,서울특별시 성동구 왕십리2동,폐지
1120090300,서울특별시 성동구 행당1동,폐지
1120090400,서울특별시 성동구 행당2동,폐지
1120090500,서울특별시 성동구 중곡1동,폐지
1120090600,서울특별시 성동구 중곡2동,폐지
1120090700,서울특별시 성동구 중곡3동,폐지
1120090800,서울특별시 성동구 중곡4동,폐지
1120090900,서울특별시 성동구 옥수1동,폐지
1120091000,서울특별시 성동구 옥수2동,폐지
1120091100,서울특별시 성동구 성수1가1동,폐지
1120091200,서울특별시 성동구 성수1가2동,폐지
1120091300,서울특별시 성동구 성수2가1동,폐지
1120091400,서울특별시 성동구 성수2가2동,폐지
1120091500,서울특별시 성동구 성수2가3동,폐지
1120091600,서울특별시 성동구 성수2가4동,폐지
1120091700,서울특별시 성동구 자양1동,폐지
1120091800,서울특별시 성동구 자양2동,폐지
1120091900,서울특별시 성동구 자양3동,폐지
1120092000,서울특별시 성동구 구의1동,폐지
1120092100,서울특별시 성동구 구의2동,폐지
1121500000,서울특별시 광진구,존재
1121510100,서울특별시 광진구 중곡동,존재
1121510200,서울특별시 광진구 능동,존재
1121510300,서울특별시 광진구 구의동,존재
1121510400,서울특별시 광진구 광장동,존재
1121510500,서울특별시 광진구 자양동,존재
1121510600,서울특별시 광진구 노유동,폐지
1121510700,서울특별시 광진구 화양동,존재
1121510800,서울특별시 광진구 모진동,폐지
1121510900,서울특별시 광진구 군자동,존재
1123000000,서울특별시 동대문구,존재
1123000100,서울특별시 동대문구 면목동,폐지
1123000200,서울특별시 동대문구 상봉동,폐지
1123000300,서울특별시 동대문구 중화동,폐지
1123000400,서울특별시 동대문구 묵동,폐지
1123000500,서울특별시 동대문구 망우동,폐지
1123000600,서울특별시 동대문구 신내동,폐지
1123000700,서울특별시 동대문구 중곡동,폐지
1123000800,서울특별시 동대문구 능동,폐지
1123000900,서울특별시 동대문구 군자동,폐지
1123001000,서울특별시 동대문구 종암동,폐지
1123001100,서울특별시 동대문구 안암동4가,폐지
1123001200,서울특별시 동대문구 안암동5가,폐지
1123001300,서울특별시 동대문구 석관동,폐지
1123001400,서울특별시 동대문구 보문동1가,폐지
1123001500,서울특별시 동대문구 보문동2가,폐지
1123001600,서울특별시 동대문구 보문동3가,폐지
1123001700,서울특별시 동대문구 보문동4가,폐지
1123001800,서울특별시 동대문구 보문동5가,폐지
1123001900,서울특별시 동대문구 보문동6가,폐지
1123002000,서울특별시 동대문구 보문동7가,폐지
1123002100,서울특별시 동대문구 창신동,폐지
1123002200,서울특별시 동대문구 숭인동,폐지
1123010100,서울특별시 동대문구 신설동,존재
1123010200,서울특별시 동대문구 용두동,존재
1123010300,서울특별시 동대문구 제기동,존재
1123010400,서울특별시 동대문구 전농동,존재
1123010500,서울특별시 동대문구 답십리동,존재
1123010600,서울특별시 동대문구 장안동,존재
1123010700,서울특별시 동대문구 청량리동,존재
1123010800,서울특별시 동대문구 회기동,존재
1123010900,서울특별시 동대문구 휘경동,존재
1123011000,서울특별시 동대문구 이문동,존재
1123090100,서울특별시 동대문구 용두1동,폐지
1123090200,서울특별시 동대문구 용두2동,폐지
1123090300,서울특별시 동대문구 제기1동,폐지
1123090400,서울특별시 동대문구 제기2동,폐지
1123090500,서울특별시 동대문구 전농1동,폐지
1123090600,서울특별시 동대문구 전농2동,폐지
1123090700,서울특별시 동대문구 전농3동,폐지
1123090800,서울특별시 동대문구 전농4동,폐지
1123090900,서울특별시 동대문구 답십리1동,폐지
1123091000,서울특별시 동대문구 답십리2동,폐지
1123091100,서울특별시 동대문구 답십리3동,폐지
1123091200,서울특별시 동대문구 답십리4동,폐지
1123091300,서울특별시 동대문구 답십리5동,폐지
1123091400,서울특별시 동대문구 장안1동,폐지
1123091500,서울특별시 동대문구 장안2동,폐지
1123091600,서울특별시 동대문구 장안3동,폐지
1123091700,서울특별시 동대문구 장안4동,폐지
1123091800,서울특별시 동대문구 청량리1동,폐지
1123091900,서울특별시 동대문구 청량리2동,폐지
1123092000,서울특별시 동대문구 휘경1동,폐지
1123092100,서울특별시 동대문구 휘경2동,폐지
1123092200,서울특별시 동대문구 이문1동,폐지
1123092300,서울특별시 동대문구 이문2동,폐지
1123092400,서울특별시 동대문구 이문3동,폐지
1126000000,서울특별시 중랑구,존재
1126010100,서울특별시 중랑구 면목동,존재
1126010200,서울특별시 중랑구 상봉동,존재
1126010300,서울특별시 중랑구 중화동,존재
1126010400,서울특별시 중랑구 묵동,존재
1126010500,서울특별시 중랑구 망우동,존재
1126010600,서울특별시 중랑구 신내동,존재
1126090100,서울특별시 중랑구 면목1동,폐지
1126090200,서울특별시 중랑구 면목2동,폐지
1126090300,서울특별시 중랑구 면목3동,폐지
1126090400,서울특별시 중랑구 면목4동,폐지
1126090500,서울특별시 중랑구 면목5동,폐지
1126090600,서울특별시 중랑구 면목6동,폐지
1126090700,서울특별시 중랑구 면목7동,폐지
1126090800,서울특별시 중랑구 상봉1동,폐지
1126090900,서울특별시 중랑구 상봉2동,폐지
1126091000,서울특별시 중랑구 중화1동,폐지
1126091100,서울특별시 중랑구 중화2동,폐지
1126091200,서울특별시 중랑구 묵1동,폐지
1126091300,서울특별시 중랑구 묵2동,폐지
1126091400,서울특별시 중랑구 망우1동,폐지
1126091500,서울특별시 중랑구 망우2동,폐지
1126091600,서울특별시 중랑구 망우3동,폐지
1129000000,서울특별시 성북구,존재
1129000100,서울특별시 성북구 미아동,폐지
1129000200,서울특별시 성북구 번동,폐지
1129000300,서울특별시 성북구 수유동,폐지
1129000400,서울특별시 성북구 우이동,폐지
1129000500,서울특별시 성북구 창동,폐지
1129000600,서울특별시 성북구 월계동,폐지
1129000700,서울특별시 성북구 쌍문동,폐지
1129000800,서울특별시 성북구 공릉동,폐지
1129000900,서울특별시 성북구 하계동,폐지
1129001000,서울특별시 성북구 상계동,폐지
1129001100,서울특별시 성북구 중계동,폐지
1129001200,서울특별시 성북구 도봉동,폐지
1129001300,서울특별시 성북구 방학동,폐지
1129001400,서울특별시 성북구 성북동2가,폐지
1129001500,서울특별시 성북구 동소문동8가,폐지
1129010100,서울특별시 성북구 성북동,존재
1129010200,서울특별시 성북구 성북동1가,존재
1129010300,서울특별시 성북구 돈암동,존재
1129010400,서울특별시 성북구 동소문동1가,존재
1129010500,서울특별시 성북구 동소문동2가,존재
1129010600,서울특별시 성북구 동소문동3가,존재
1129010700,서울특별시 성북구 동소문동4가,존재
1129010800,서울특별시 성북구 동소문동5가,존재
1129010900,서울특별시 성북구 동소문동6가,존재
1129011000,서울특별시 성북구 동소문동7가,존재
1129011100,서울특별시 성북구 삼선동1가,존재
1129011200,서울특별시 성북구 삼선동2가,존재
1129011300,서울특별시 성북구 삼선동3가,존재
1129011400,서울특별시 성북구 삼선동4가,존재
1129011500,서울특별시 성북구 삼선동5가,존재
1129011600,서울특별시 성북구 동선동1가,존재
1129011700,서울특별시 성북구 동선동2가,존재
1129011800,서울특별시 성북구 동선동3가,존재
1129011900,서울특별시 성북구 동선동4가,존재
1129012000,서울특별시 성북구 동선동5가,존재
1129012100,서울특별시 성북구 안암동1가,존재
1129012200,서울특별시 성북구 안암동2가,존재
1129012300,서울특별시 성북구 안암동3가,존재
1129012400,서울특별시 성북구 안암동4가,존재
1129012500,서울특별시 성북구 안암동5가,존재
1129012600,서울특별시 성북구 보문동4가,존재
1129012700,서울특별시 성북구 보문동5가,존재
1129012800,서울특별시 성북구 보문동6가,존재
1129012900,서울특별시 성북구 보문동7가,존재
1129013000,서울특별시 성북구 보문동1가,존재
1129013100,서울특별시 성북구 보문동2가,존재
1129013200,서울특별시 성북구 보문동3가,존재
1129013300,서울특별시 성북구 정릉동,존재
1129013400,서울특별시 성북구 길음동,존재
1129013500,서울특별시 성북구 종암동,존재
1129013600,서울특별시 성북구 하월곡동,존재
1129013700,서울특별시 성북구 상월곡동,존재
1129013800,서울특별시 성북구 장위동,존재
1129013900,서울특별시 성북구 석관동,존재
1129090100,서울특별시 성북구 성북1동,폐지
1129090200,서울특별시 성북구 성북2동,폐지
1129090300,서울특별시 성북구 삼선1동,폐지
1129090400,서울특별시 성북구 삼선2동,폐지
1129090500,서울특별시 성북구 동선1동,폐지
1129090600,서울특별시 성북구 동선2동,폐지
1129090700,서울특별시 성북구 돈암1동,폐지
1129090800,서울특별시 성북구 돈암2동,폐지
1129090900,서울특별시 성북구 정릉1동,폐지
1129091000,서울특별시 성북구 정릉2동,폐지
1129091100,서울특별시 성북구 정릉3동,폐지
1129091200,서울특별시 성북구 정릉4동,폐지
1129091300,서울특별시 성북구 길음1동,폐지
1129091400,서울특별시 성북구 길음2동,폐지
1129091500,서울특별시 성북구 길음3동,폐지
1129091600,서울특별시 성북구 종암1동,폐지
1129091700,서울특별시 성북구 종암2동,폐지
1129091800,서울특별시 성북구 하월곡1동,폐지
1129091900,서울특별시 성북구 하월곡2동,폐지
1129092000,서울특별시 성북구 하월곡3동,폐지
1129092100,서울특별시 성북구 하월곡4동,폐지
1129092200,서울특별시 성북구 장위1동,폐지
1129092300,서울특별시 성북구 장위2동,폐지
1129092400,서울특별시 성북구 장위3동,폐지
1129092500,서울특별시 성북구 석관1동,폐지
1129092600,서울특별시 성북구 석관2동,폐지
1130500000,서울특별시 강북구,존재
1130510100,서울특별시 강북구 미아동,존재
1130510200,서울특별시 강북구 번동,존재
1130510300,서울특별시 강북구 수유동,존재
1130510400,서울특별시 강북구 우이동,존재
1132000000,서울특별시 도봉구,존재
1132000300,서울특별시 도봉구 상계동,폐지
1132000400,서울특별시 도봉구 중계동,폐지
1132000500,서울특별시 도봉구 하계동,폐지
1132000600,서울특별시 도봉구 월계동,폐지
1132000700,서울특별시 도봉구 공릉동,폐지
1132010100,서울특별시 도봉구 미아동,폐지
1132010200,서울특별시 도봉구 번동,폐지
1132010300,서울특별시 도봉구 수유동,폐지
1132010400,서울특별시 도봉구 우이동,폐지
1132010500,서울특별시 도봉구 쌍문동,존재
1132010600,서울특별시 도봉구 방학동,존재
1132010700,서울특별시 도봉구 창동,존재
1132010800,서울특별시 도봉구 도봉동,존재
1132090100,서울특별시 도봉구 창1동,폐지
1132090200,서울특별시 도봉구 창2동,폐지
1132090300,서울특별시 도봉구 창3동,폐지
1132090400,서울특별시 도봉구 도봉1동,폐지
1132090500,서울특별시 도봉구 도봉2동,폐지
1132090600,서울특별시 도봉구 미아1동,폐지
1132090700,서울특별시 도봉구 미아2동,폐지
1132090800,서울특별시 도봉구 미아3동,폐지
1132090900,서울특별시 도봉구 미아4동,폐지
1132091000,서울특별시 도봉구 미아5동,폐지
1132091100,서울특별시 도봉구 미아6동,폐지
1132091200,서울특별시 도봉구 미아7동,폐지
1132091300,서울특별시 도봉구 미아8동,폐지
1132091400,서울특별시 도봉구 번1동,폐지
1132091500,서울특별시 도봉구 번2동,폐지
1132091600,서울특별시 도봉구 수유1동,폐지
1132091700,서울특별시 도봉구 수유2동,폐지
1132091800,서울특별시 도봉구 수유3동,폐지
1132091900,서울특별시 도봉구 수유4동,폐지
1132092000,서울특별시 도봉구 수유5동,폐지
1132092100,서울특별시 도봉구 쌍문1동,폐지
1132092200,서울특별시 도봉구 쌍문2동,폐지
1132092300,서울특별시 도봉구 쌍문3동,폐지
1132092400,서울특별시 도봉구 방학1동,폐지
1132092500,서울특별시 도봉구 방학2동,폐지
1132092600,서울특별시 도봉구 방학3동,폐지
1135000000,서울특별시 노원구,존재
1135010100,서울특별시 노원구 창동,폐지
1135010200,서울특별시 노원구 월계동,존재
1135010300,서울특별시 노원구 공릉동,존재
1135010400,서울특별시 노원구 하계동,존재
1135010500,서울특별시 노원구 상계동,존재
1135010600,서울특별시 노원구 중계동,존재
1135010700,서울특별시 노원구 도봉동,폐지
1135090100,서울특별시 노원구 도봉1동,폐지
1135090200,서울특별시 노원구 도봉2동,폐지
1135090300,서울특별시 노원구 창1동,폐지
1135090400,서울특별시 노원구 창2동,폐지
1135090500,서울특별시 노원구 창3동,폐지
1135090600,서울특별시 노원구 월계1동,폐지
1135090700,서울특별시 노원구 월계2동,폐지
1135090800,서울특별시 노원구 월계3동,폐지
1135090900,서울특별시 노원구 공릉1동,폐지
1135091000,서울특별시 노원구 공릉2동,폐지
1135091100,서울특별시 노원구 상계1동,폐지
1135091200,서울특별시 노원구 상계2동,폐지
1135091300,서울특별시 노원구 상계3동,폐지
1135091400,서울특별시 노원구 상계4동,폐지
1135091500,서울특별시 노원구 상계5동,폐지
1135091600,서울특별시 노원구 상계6동,폐지
1135091700,서울특별시 노원구 상계7동,폐지
1138000000,서울특별시 은평구,존재
1138010100,서울특별시 은평구 수색동,존재
1138010200,서울특별시 은평구 녹번동,존재
1138010300,서울특별시 은평구 불광동,존재
1138010400,서울특별시 은평구 갈현동,존재
1138010500,서울특별시 은평구 구산동,존재
1138010600,서울특별시 은평구 대조동,존재
1138010700,서울특별시 은평구 응암동,존재
1138010800,서울특별시 은평구 역촌동,존재
1138010900,서울특별시 은평구 신사동,존재
1138011000,서울특별시 은평구 증산동,존재
1138011100,서울특별시 은평구 진관내동,폐지
1138011200,서울특별시 은평구 구파발동,폐지
1138011300,서울특별시 은평구 진관외동,폐지
1138011400,서울특별시 은평구 진관동,존재
1138090100,서울특별시 은평구 불광1동,폐지
1138090200,서울특별시 은평구 불광2동,폐지
1138090300,서울특별시 은평구 불광3동,폐지
1138090400,서울특별시 은평구 응암1동,폐지
1138090500,서울특별시 은평구 응암2동,폐지
1138090600,서울특별시 은평구 응암3동,폐지
1138090700,서울특별시 은평구 역촌1동,폐지
1138090800,서울특별시 은평구 역촌2동,폐지
1138090900,서울특별시 은평구 응암4동,폐지
1141000000,서울특별시 서대문구,존재
